天赋id;天赋名称;描述;稀有度
768;脉脉无语·狂;反击率+12%，反击成功时，对周围3*3敌人附加残废+15;金
769;脉脉无语·化;反击率+20%，反击成功时，对周围3*3敌人附加残废+20;暗金
770;盈盈无间·狂;反击率+12%，反击成功时，对周围3*3队友附加坚韧+15;金
771;盈盈无间·化;反击率+20%，反击成功时，对周围3*3队友附加坚韧+20;暗金
772;逆天改命;可学武学数量上限+2;暗金
773;万佛朝宗+10;普度众生1级：所有拳法杀死目标时，以目标的20%生命值造成全屏伤害（上限100000+我方生命*50%）;金
774;真龙气脉;战斗开始增加真气*20%的护盾;金
776;鹏沐霖雨·化;开局第一回合减伤50%;暗金
778;音画同鸣·化;闪避率+5%，开局获得真气的50%作为护盾;暗金
779;弹指之间·极;《玄机弹指》威力+10%，使用《玄机弹指》攻击每次附带当攻击*10%的伤害;橙
780;仙人酿酒·极;暴击伤害倍数+10%，《醉八仙掌法》的威力+15%，绝招威力+20%;橙
781;仙人酿酒;暴击伤害倍数+5%，《醉八仙掌法》的威力+5%，绝招威力+10%可通过特定心愿奖励进化天赋;紫
782;弹指之间;《玄机弹指》威力+10%，可通过特定心愿奖励进化天赋;紫
783;仙人酿酒·狂;暴击伤害倍数+15%，《醉八仙掌法》的威力+30%，绝招威力+40%;金
784;仙人酿酒·化;暴击伤害倍数+20%，《醉八仙掌法》的威力+50%，绝招威力+70%;暗金
785;弹指之间·狂;《玄机弹指》威力+40%，使用《玄机弹指》攻击每次附带攻击*20%的伤害;金
786;弹指之间·化;《玄机弹指》威力+100%，使用《玄机弹指》攻击每次附带攻击*30%的伤害;暗金
788;销魂滋味;《伤心欲绝掌》击中敌人时，额外消耗敌人500真气值可通过特定心愿奖励进化天赋;紫
789;重剑无锋;《玄铁巨剑法》的威力+10%，每次攻击附带攻击*5%的伤害可通过特定心愿奖励进化天赋;紫
790;流星蝴蝶;连击率+5%可通过特定心愿奖励进化天赋;紫
791;真气如剑;太华君子剑威力百分比+10%，剑法精通+20可通过特定心愿奖励进化天赋;紫
792;执子之手;灵巧+20；极速1级：开局行动条前进5%（可叠加至7级）可通过特定心愿奖励进化天赋;紫
793;剑神传人;九式·求败剑诀威力百分比+10%,破招率+5%可通过特定心愿奖励进化天赋;紫
794;尝遍四海;;橙
795;风氏酒葫芦（暂不用）;提高你对剑法20%的破招率，第三次必定识破;金
796;力能扛鼎（暂不用）;使用伤心欲绝掌，玄铁巨剑法，玉女派武学连击率+10%，第二次使用时必定连击;绿
797;不遗余力;触发连招时，本次基础伤害+20%，真气消耗提升40%;暗金
799;起死回生;奋起1级：退场时50%概率再次登场，恢复10%生命和真气，一场战斗触发一次（最高叠加到4级）;暗金
800;剑法精通-初学;剑法精通+10;绿
801;洪荒之力;攻击时如果忽视防御大于100%，则对3*3范围敌人造成额外伤害（每超过1%，额外造成1%伤害，最高50%）;暗金
802;力满则溢;若自身的暴击值大于敌方所有角色的暴击值，攻击时可对目标周围3*3的敌人造成20%的额外伤害;暗金
804;共享真气;回合开始时，吸收周围3*3队友当前剩余真气的10%给自己;金
805;穷追猛打;对减速的敌人伤害+15%;金
806;拳拳到肉;攻击真气为0的敌人时，附加攻击*150%的额外伤害;紫
807;利刃出鞘;所有附加流血状态造成流血状态*500的额外伤害;紫
808;极限外伤;攻击敌人后，如果敌人的流血>=100，造成敌人最大生命值5%的直接伤害（最多造成200000伤害，每回合生效1次）;暗金
809;生生不息;每当成功发动吸血效果时，额外恢复自身最大生命值的10%（每局最多触发3次）;暗金
810;浑身剧毒;被攻击时，对攻击者附加中毒+30;暗金
811;剧毒蔓延;攻击中毒目标时，将目标身上100%的中毒层数，扩散给周围3*3的其他敌人（受到层峰叠浪的影响，每回合至多生效一次）;暗金
812;事先下毒;全场敌人的中毒抗性-50;橙
813;排山倒海;攻击时如果暴击，自身增加2层铸剑蓄力（每回合最多生效一次）;暗金
814;绵绵不绝;攻击时，附加一次以170%威力对全屏敌人造成伤害的内功普通攻击（一场战斗只生效一次）;暗金
820;拳掌精通-初学;拳掌精通+10;绿
821;奇门精通-初学;奇门精通+10;绿
822;医术精通-初学;医术精通+10;绿
823;暗器精通-初学;暗器精通+10;绿
824;刀法精通-初学;刀法精通+10;绿
830;神功-太极拳;以反击打出太极拳时，太极拳范围增大到3*3;暗金
831;神功-太极剑;以反击打出太极剑时，太极剑范围增大到3*3;暗金
832;以柔克刚;被暴击时，如发动反击，则可额外打出2次反击武学;暗金
833;毁天灭地;一回合打出10次连招时，触发自身习得的所有绝招;暗金
834;同舟共济;发动援护防御时，将自身的疗伤层数的50%，加给援护的队友;紫
835;破釜沉舟;开局时获得额外30%的生命值上限和真气上限，受到所有基础伤害+10%;橙
836;易筋洗髓·化;被击时100%几率免疫被吸真气及真气燃烧效果;暗金
837;金刚不破·化;流血抗性+100;暗金
838;金刚不破·狂;流血抗性+80;金
839;金刚不破;流血抗性+50;橙
840;醒神明目·狂;被击时50%几率免疫眩晕;金
841;醒神明目;被击时30%几率免疫眩晕;橙
842;百毒不侵;中毒抗性+50;橙
843;百毒不侵·狂;中毒抗性+80;金
844;铁手铜臂;残废抗性+50;橙
845;铁手铜臂·狂;残废抗性+80;金
846;老僧入定;内伤抗性+50;橙
847;老僧入定·狂;内伤抗性+80;金
848;金戈铁甲;破甲抗性+50;橙
849;金戈铁甲·狂;破甲抗性+80;金
850;易筋洗髓;被击时30%几率免疫被吸真气及真气燃烧效果;橙
851;生死判官;暴击伤害倍数+10%，《无上元气针》威力+15%;紫
852;虚弱;被人重伤，本月全属性降低20%;暗金
853;菩萨的怜悯;丐帮武学威力百分比增加10%;金
854;任天行的战袍;受到攻击时，可将攻击者消耗的真气化为自身真气;暗金
855;逃脱;受击时有30%几率施放轻功，每次回合外只触发一次;金
856;奉旨乞讨+5;攻击时可偷取铜币;暗金
857;五毒蛊囊+10;强化中毒1级：使每层中毒的效果提升至减少敌人血量60点血量，减少真气20点（敌方受到中毒效果取我方等级最高的效果）;暗金
858;长生门内传弟子;长生门武学等级上限+1;橙
859;腿法精通-初学;腿法精通+10;绿
860;内功精通-初学;内功精通+10;绿
861;剑法精通-熟练;剑法精通+15;蓝
862;刀法精通-熟练;刀法精通+15;蓝
863;暗器精通-熟练;暗器精通+15;蓝
864;医术精通-熟练;医术精通+15;蓝
865;奇门精通-熟练;奇门精通+15;蓝
866;拳掌精通-熟练;拳掌精通+15;蓝
867;内功精通-熟练;内功精通+15;蓝
868;腿法精通-熟练;腿法精通+15;蓝
869;仁道天成;每月仁义值+10（仁义值大于50后不再增加）;蓝
870;霸道天成;每月仁义值-10（仁义值小于-50后不再降低）;蓝
871;吸血-初学;吸血率+5%;蓝
872;减速抗性;减速抗性+20;绿
873;流血抗性;流血抗性+20;绿
874;破甲抗性;破甲抗性+20;绿
875;中毒抗性;中毒抗性+20;绿
876;内伤抗性;内伤抗性+20;绿
877;残废抗性;残废抗性+20;绿
878;恢复真气;每回合回真气+500;绿
879;真气上限;真气上限+2000;蓝
880;吸血-熟练;吸血率+10%;金
881;恢复生命-初学;每回合恢复生命值+300;绿
882;反击;反击值+800;金
883;恢复生命-熟练;每回合恢复生命值+500;蓝
884;十步杀一人;剑法精通+10，《灭绝剑法》威力+10%可通过特定心愿奖励进化天赋;紫
885;十步杀一人·化;剑法精通+100，《灭绝剑法》威力+100%，暴击伤害倍数+50%;暗金
886;十步杀一人·狂;剑法精通+75，《灭绝剑法》威力+40%，暴击伤害倍数+25%;金
887;十步杀一人·极;剑法精通+10，《灭绝剑法》威力+20%，暴击伤害倍数+10%;橙
888;纹银匕首;暴击值+600;金
889;侠客行;闪避值+500，开局第一次攻击额外造成敌人攻击*20%的伤害可通过特定心愿奖励进化天赋;紫
890;侠客行·化;闪避值+1000，开局首次攻击额外造成攻击*50%的伤害;暗金
891;黄粱旧梦;反弹率+5%，反击成功时，自身添加疗伤+5可通过特定心愿奖励进化天赋;紫
892;黄粱旧梦·化;反弹率+10%，反击成功时，自身添加疗伤+10;暗金
893;君子鞋（暂不用）;每次受击增加3%反击率，第3次反击率增加100%（中途发生反击会删除附加的反击率）;金
894;生亦何欢;援护防御后提升周围3*3队友5%的真气可通过特定心愿奖励进化天赋;紫
895;生亦何欢·极;援护防御后提升周围3*3队友10%的真气;橙
896;生亦何欢·狂;援护防御1级：周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害援护防御后提升周围3*3队友15%的真气;金
897;生亦何欢·化;援护防御1级：周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害援护防御后提升周围3*3队友20%的真气;暗金
898;死亦何苦;援护防御1级：周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害援护防御后对攻击者随机添加一种基础负面状态+5可通过特定心愿奖励进化天赋;紫
899;熊熊圣火;被攻击后有20%几率为自身随机添加一个正面状态+5可通过特定心愿奖励进化天赋;紫
900;熊熊圣火·化;被攻击后有20%几率为自身随机添加一个正面状态+10;暗金
901;拳掌精通-珍稀;拳掌精通+30;金
902;腿法精通-珍稀;腿法精通+30;金
903;偷袭失败;战斗开始行动条推进80%;暗金
904;偷袭成功;进入战斗时损失当前生命值的50%;暗金
905;白衣之怒;愤怒了;金
50058;剑气破空3级;剑法伤害+12%;橙
50059;剑气破空4级;剑法伤害+18%;金
50060;剑气破空5级;剑法伤害+24%;暗金
909;白衣之怒·真;震怒;暗金
910;天阴控心丹（毒发）;进入战斗，生命值仅有10%，真气和真气恢复变为0，可通过再次服用天阴控心丹使其发作期限推迟一年;暗金
911;拳剑双绝;拳掌精通和剑法精通取较高值;暗金
912;奇暗双绝;奇门精通和暗器精通取较高值;暗金
913;天行宝衣;受到攻击时会吸收敌人的1000+2%最大真气（最多10000点）;暗金
914;腿暗双绝;腿法精通和暗器精通取较高值;暗金
915;腿奇双绝;腿法精通和奇门精通取较高值;暗金
916;剑暗双绝;剑法精通和暗器精通取较高值;暗金
917;剑奇双绝;剑法精通和奇门精通取较高值;暗金
918;剑腿双绝;剑法精通和腿法精通取较高值;暗金
919;刀暗双绝;刀法精通和暗器精通取较高值;暗金
920;刀奇双绝;刀法精通和奇门精通取较高值;暗金
921;刀腿双绝;刀法精通和腿法精通取较高值;暗金
922;刀剑双绝;刀法精通和剑法精通取较高值;暗金
923;拳暗双绝;拳掌精通和暗器精通取较高值;暗金
924;拳奇双绝;拳掌精通和奇门精通取较高值;暗金
925;拳腿双绝;拳掌精通和腿法精通取较高值;暗金
926;拳刀双绝;拳掌精通和刀法精通取较高值;暗金
927;拳医双绝;拳掌精通和医术精通取较高值;暗金
928;内拳双绝;内功精通和拳掌精通取较高值;暗金
929;内医双绝;内功精通和医术精通取较高值;暗金
930;腿医双绝;腿法精通和医术精通取较高值;暗金
931;暗医双绝;暗器精通和医术精通取较高值;暗金
932;奇医双绝;奇门精通和医术精通取较高值;暗金
933;刀医双绝;刀法精通和医术精通取较高值;暗金
934;剑医双绝;医术精通和剑法精通取较高值;暗金
935;内腿双绝;内功精通和腿法精通取较高值;暗金
936;内刀双绝;内功精通和刀法精通取较高值;暗金
937;内剑双绝;内功精通和剑法精通取较高值;暗金
938;内奇双绝;内功精通和奇门精通取较高值;暗金
939;内暗双绝;内功精通和暗器精通取较高值;暗金
940;独孤求败·狂;剑法武学命中率+100%;金
941;独孤求败·化;剑法武学命中率+150%;暗金
942;虚无缥缈·狂;减速抗性+80;金
943;虚无缥缈·化;减速抗性+100;暗金
944;醒神明目·化;被击时100%几率免疫眩晕;暗金
945;火眼金睛·狂;攻击时50%几率免疫反击;金
946;火眼金睛·化;攻击时100%几率免疫反击;暗金
947;鬼魅身段·狂;攻击时50%几率免疫反弹;金
948;鬼魅身段·化;攻击时100%几率免疫反弹;暗金
949;见龙在田;攻击后有10%几率返还施放技能所消耗真气;橙
950;见龙在田·狂;攻击后有20%几率返还施放技能所消耗真气;金
951;见龙在田·化;攻击后有30%几率返还施放技能所消耗真气;暗金
952;根基稳固·狂;被击时50%几率免疫击退和吸附效果;金
953;根基稳固·化;被击时100%几率免疫击退和吸附效果;暗金
954;（专属）生命光环;不上阵时可在场边助战：全体友方生命值回复+500;绿
955;（专属）真气光环;不上阵时可在场边助战：全体友方真气回复+500;绿
956;欢喜袈裟;战斗能发出笑声;紫
957;铁罗汉;所有少林寺外功武学等级上限+1;橙
958;神农鼎+5;回合结束时解除自身最高层数的负面状态100层;暗金
959;华佗青囊书;每回合自动解除15层基础负面状态;紫
960;神秘真气;宇文珂注入我体内的神秘真气，若是不在四年内解除，恐有性命之虞;暗金
961;金蛇针匣;暗器武学每攻击一人次额外消耗铜钱500, 基础伤害+15%;金
962;龙头拐杖;《玄机腿法》攻击时，附基础伤害+10%;橙
963;唐布袋的禅杖;奇门武学威力百分比+5%;橙
964;素染桃花+5;使用内功武学后，对周围3*3敌人附加内伤+20;暗金
965;沉香扇;场上每多一个龙门镖局友方，攻击时造成基础伤害+5%（最多提升20%）;暗金
966;白玉扇;自身行动时, 吟诗助兴;金
967;清凉扇;角色行动时, 如果有烈火真气或烈阳真气, 那么立刻获得寒冰真气;金
968;阴阳宝扇;龙门武学攻击时，附加2000点伤害;橙
969;打穴铁骨扇;奇门武学对敌人行动条击退10%;金
970;暴雨梨花;暗器精通+500;暗金
971;仙鹤翎（暂不用）;暗器攻击单体造成基础伤害+50%;暗金
972;金蜂针匣+5;使用暗器武学攻击后对敌方和自身同时附加中毒+50（自身回合内生效，一回合最多生效一次）;暗金
973;李若愁的针囊;暗器武学攻击造成伤害后附加中毒+10;金
974;阎王针;释放医术武学最终治疗+10%;金
975;柯氏伏魔杖;暴击率+5%;紫
976;青竹杖;《倾城腿法》威力百分比+10%;暗金
977;璎珞飞针;《玄机弹指》威力百分比+10%;暗金
978;霹雳雷火杖+5;暴击时，附加残废+20;暗金
979;蟾蜍毒砂杖+5;使用腿法武学后，对周围3*3目标施放中毒+20（每回合仅一次）;暗金
980;秋月的领悟;医术武学治疗效果+10%;橙
981;玄铁金针+10;强化弹射1级：暗器弹射时，威力为上一次的80%（初始值为70%）;暗金
982;迅雷;极速1级：开局进度条前进到至5%（可叠加至7级）;紫
983;回春针匣;《枯木逢春》治疗附加生命1500点;紫
984;乌金衣+5;战斗开始时，增加真气*20%的护盾;紫
985;真·大理玉玺+5;受到致命伤害能保留1点生命（一场战斗最多触发二次）;紫
986;玉鞋+5;战斗开始时，增加攻击*80%的护盾;紫
987;白马金铃+5;战斗开始时，增加攻击*60%的护盾;紫
988;青竹;奇门武学攻击额外造成减速+10;紫
989;灵蛇;毒牙杖法威力百分比+4%;紫
990;碧波;《七十二峰飞仙剑》攻击时，额外附基础伤害+10%;紫
991;黑指虎;《神武剑法》威力百分比+10%;紫
992;大燕皇族;反击率+10%;紫
993;铁掌;战斗开始时，增加攻击*70%的护盾;紫
994;太极真武;反击值+300，反击造成的基础伤害+5%;紫
995;避毒;每回合自动清除中毒15;紫
996;青臂;闪避值+300;紫
997;昆仑结;反弹率+5%;紫
998;神判;攻击附加残废10;紫
999;垂珠;玄机门剑法连击值+200;紫
1000;火烧;奇门武学攻击额外造成内伤+10;紫
1001;降魔;刀法武学绝招率+5%;紫
1002;九损佛尘;武当、全真武功额外附加1500点伤害;紫
1003;金麟;五岳派剑法武学附加中毒+15;紫
1004;外天剑;峨嵋剑法威力+10%;紫
1005;紫薇;《九式·求败剑诀》威力百分比+10%;紫
1006;金童剑;全真剑法威力百分比+10%;紫
1007;玉女剑;《飘雪穿云剑》威力百分比+10%;紫
1008;仁者无敌;刀法武学威力百分比+10%;紫
1009;虎虎生威;附加破甲抗性10，残废抗性10;紫
1010;闯王军刀;在藏宝洞穴中，战斗完美后再次遇到相同的敌人可跳过战斗;紫
1011;金剑黑刀;剑法攻击与刀法攻击附加破甲+5，内伤+5;紫
1012;赤焰刀;行动开始时有10%几率自动获得烈火真气;紫
1013;玄机传人;玄机门武学等级上限+1;紫
1014;童童的援助;不上阵时可在场边助战：飞飞和花花的效果翻倍;绿
1015;飞飞的援助;不上阵时可在场边助战：全体友方基础伤害+3%;绿
1016;花花的援助;不上阵时可在场边助战：全体治疗效果+3%;绿
1017;灵云-唯我之道;基础伤害+25%，仁义值每月-5;金
1018;灵云-仁善之道;增加20%减伤，仁义值每月+5;金
1019;灵云-中庸之道;基础伤害+10%、10%减伤;金
1020;奋起1级;角色濒临退场时50%概率触发奋起效果，可恢复10%生命和真气，一场战斗触发一次;紫
1021;奋起2级;角色濒临退场时100%概率触发奋起效果，可恢复10%生命和真气，一场战斗触发一次;橙
1022;奋起3级;角色濒临退场时100%概率触发奋起效果，可恢复50%生命和真气，一场战斗触发一次;金
1023;奋起4级;角色濒临退场时100%概率触发奋起效果，可恢复100%生命和真气，一场战斗触发一次;暗金
1024;极速1级;开局进度条前进到至5%;白
1025;极速2级;开局进度条前进到至8%;绿
1026;极速3级;开局进度条前进到至12%;蓝
1027;极速4级;开局进度条前进到至20%;紫
1028;极速5级;开局进度条前进到至30%;橙
1029;极速6级;开局进度条前进到至45%;金
1030;极速7级;开局进度条前进到至80%;暗金
1031;撕裂伤口1级;所有武学对流血状态的敌人造成基础伤害+3%;蓝
1032;撕裂伤口2级;所有武学对流血状态的敌人造成基础伤害+5%;紫
1033;撕裂伤口3级;所有武学对流血状态的敌人造成基础伤害+8%;橙
1034;撕裂伤口4级;所有武学对流血状态的敌人造成基础伤害+12%;金
1035;撕裂伤口5级;所有武学对流血状态的敌人造成基础伤害+18%;暗金
1036;暗中偷袭5级;所有武学对中毒状态的敌人造成基础伤害+18%;暗金
1037;暗中偷袭1级;所有武学对中毒状态的敌人造成基础伤害+3%;蓝
1038;暗中偷袭2级;所有武学对中毒状态的敌人造成基础伤害+5%;紫
1039;暗中偷袭3级;所有武学对中毒状态的敌人造成基础伤害+8%;橙
1040;暗中偷袭4级;所有武学对中毒状态的敌人造成基础伤害+12%;金
1041;援护防御1级;周围3*3队友受到攻击时，有20%几率援护防御，以自身防御分担20%伤害;蓝
1042;援护防御2级;周围3*3队友受到攻击时，有30%几率援护防御，以自身防御分担40%伤害;紫
1043;援护防御3级;周围3*3队友受到攻击时，有40%几率援护防御，以自身防御分担60%伤害;橙
1044;援护防御4级;周围3*3队友受到攻击时，有50%几率援护防御，以自身防御分担80%伤害;金
1045;援护防御5级;周围3*3队友受到攻击时，有100%几率援护防御，以自身防御分担100%伤害;暗金
1046;黑曜巨剑+10;如自身攻击大于敌方，使用拳掌或刀法攻击时，额外附加减速+100（只在自身攻击回合触发，每个回合最多触发一次效果）;暗金
1047;血海无涯1级;血海魔功基础伤害+10%;暗金
1048;血海无涯3级;血海魔功基础伤害+24%;暗金
1049;血海无涯2级;血海魔功基础伤害+16%;暗金
50202;鸾骞鹤舞·化;《青鸾凤舞》多段攻击次数+3；百里挑一2级：腿法武学攻击目标时，30%几率对其中一个敌人额外进行一次攻击（每回合限一次）;暗金
1051;血海无涯4级;血海魔功基础伤害+40%;暗金
1052;血海无涯5级;血海魔功基础伤害+60%;暗金
1053;一往无前;血海无涯1级：血海魔功基础伤害+10%（最高提升至5级）;暗金
1054;戾气;当前戾气   0/100无额外效果;金
1055;青龙偃月刀+5;攻击后对敌方附加减速+30（自身回合内生效，一回合最多生效一次）;暗金
1056;南诏铁柱+5;攻击后对敌方附加减速+30（自身回合内生效，一回合最多生效一次）;暗金
1057;踏波飞云靴+10;凌波仙子1级：回合外受到6次攻击后，暂时提升闪避率闪避率+50%，直到闪避1次后消失;暗金
1058;黑刀+5;攻击时如目标身上没有中毒状态，附加中毒+30;暗金
1059;蛇牙拳套+5;攻击时附加中毒，层数为自身中毒层数（每回合攻击最多附加一次，单次攻击最多附加200层）;暗金
1060;毒蛇棍+5;攻击附加中毒时额外提升50%的层数（最多额外附加25层）;暗金
1061;千层百纳鞋+5;《十八罗汉腿法》威力百分比+20%;暗金
1062;赤刀·化;《赤刀神功》等级+2;暗金
1063;赤刀·化+5;撕裂伤口Lv1，所有武学对流血目标基础伤害+3%（最高叠加到5级）;暗金
1064;逆鳞手套+10;如自身攻击大于敌方，使用拳掌或刀法攻击时，额外附加流血+100（只在自身攻击回合触发，每个回合最多触发一次效果）;暗金
1065;逆顺神针;攻击时如目标身上没有流血状态，附加流血+30;暗金
1066;大宝贝;《日月万光神针》威力百分比+10%;暗金
1067;大宝贝+10;余波微震1级：对多个目标附加负面状态时，其他目标层数是选中目标的20%（初始值为10%）;暗金
1068;纯阳宝剑+5;所有武学真气消耗+50%，造成基础伤害+15%;暗金
1069;金铃玉珠串+10;如自身攻击大于敌方攻击，额外附加内伤+100（只在自身攻击回合触发，每个回合最多触发一次效果）;暗金
1070;八宝扇;所有攻击附加破甲+15;暗金
1071;九天元阳杖+5;自身退场时，将剩余所有真气爆炸，每10点真气附加3点伤害（消耗真气上限值为最大真气*30%）;暗金
1072;天木神针+5;攻击已有内伤的敌人时，减少敌人最大真气*5%+1000的真气（最大降低5000点真气）;暗金
1073;天行宝衣+5;受到暴击时会吸收敌人的2000+3%最大真气（最高5000点）;暗金
1074;七宝戒指+5;攻击真气小于10%的敌人基础伤害+10%;暗金
1075;白衣圣令+5;攻击目标时附加气伤，使目标施放武学时真气消耗+100%;暗金
1076;虎头铡刀+10;如自身攻击大于敌方攻击，额外附加内伤+100（只在自身攻击回合触发，每个回合最多触发一次效果）;暗金
1077;龙门镖旗+5;使用奇门武学后，对周围3*3敌人附加残废+20;暗金
1078;北斗七星剑+5;自身拥有蓄力状态时，所有武学攻击附加破甲+20;暗金
1079;八宝扇+10;强化破甲1级：使每层破甲的效果提升至防御减少6（敌方受到破甲效果取我方等级最高的效果）;暗金
1080;缎面金花鞋+5;所有腿法忽视防御率+10%;暗金
1081;乌蚕衣;防御提升率+15%;暗金
1082;乌蚕衣+5;破甲抗性+50;暗金
1083;冷月宝刀;敌人每多一种基础负面状态，造成基础伤害+5%;暗金
1084;雌雄龙凤环+5;攻击有6种基础负面状态的敌人时，基础伤害+30%;暗金
1085;倚天剑+5;暴击率+10%;暗金
1086;屠龙刀;暴击值+900;暗金
1087;屠龙刀+10;抬棺死战1级：生命值低于50%时，最终基础伤害+5%，每低5%生命增加1%最终伤害;暗金
1088;降龙伏虎棍;使用奇门武学时，对攻击范围中心的敌人暴击率增加20%;暗金
1089;大漠防沙靴;暴击抵抗值+1000;暗金
1090;大漠防沙靴+5;被暴击时，基础伤害-20%;暗金
1091;紫金八卦镜;暴击抵抗值+1000;暗金
1092;紫金八卦镜+5;受到暴击时，获得生命值10%的护盾（最大100W点，每场战斗最多生效5次）;暗金
1093;越王剑;只攻击一个敌人时，基础伤害+15%，超过一个敌人时，伤害-5%;暗金
1094;石锤与石锁;只攻击一个敌人时，附加击退+1;暗金
1095;石锤与石锁+5;当目标被人物阻挡无法击退目标时，造成基础伤害+20%;暗金
1097;灵蛇吐信剑;攻击附加破甲+15;暗金
1098;灵蛇吐信剑+10;攻击破甲>50的敌人时，额外附加剑法精通*10的伤害（每回合至多生效1次）;暗金
1099;九环金刀+10;致命追击1级：每击败一个敌人，行动条前进20%（每回合最多额外前进100%）;暗金
1100;贪吃罗汉拳套+10;穷击猛打1级：所有武学对减速目标基础伤害+3%;暗金
1101;阴阳双面扇;攻击时根据命中数量增加最终伤害，每个敌人增加2%（最多增加10%）;暗金
1102;五岳令旗;当场上友方多于敌方时，每多一人，自身造成基础伤害+3%（最高30%）;暗金
1103;春秋羽扇;开局第一次攻击，使目标一回合造成基础伤害-50%;暗金
1104;璧蟾玉佩+10;中毒抗性1级：中毒抗性+30（最高升至5级）;暗金
1105;璧蟾玉佩+5;中毒抗性+50;暗金
