组合技,组合技招式1,组合技招式2,组合技招式3
龙门拳法,冰火掌,
毒蒺藜,银针飞花,五彩神砂,
少林刀法,破魔刀法,慈悲刀法,
千手观音掌,慈悲刀法,
慈悲刀法,烈焰刀法,
金光交错刀法（专属）,九霄惊雷刀法（专属）,
金光交错刀法,九霄惊雷刀法,
银环刀法（专属）,金光交错刀法（专属）,
银环刀法,金光交错刀法,
赤刀刀法,惊魂刀法,饮血刀法,
蛇行腿法,蟾跃腿法,
乞丐棍法,铁拐棍法,
铁拐棍法,打狗棍法,
普门杖法,韦陀杖法,伏虎杖法,
伏虎杖法,达摩禅杖,
三才五格棍,醉棍,
玄机剑法,玉笛剑法,
玄机剑法,百花剑法,
扛旗枪法,托镖长戟,
峨嵋剑法,飘雪穿云剑,金顶穿花剑,
金顶穿花剑,灭绝剑法,
岳女九式剑法,霜氏九式剑法,
狂风剑法,三仙夺命连环剑,
华山剑法,太华君子剑,
游龙腿法,游龙腿法,十八罗汉腿法,
地趟腿法,游龙腿法,
昊天掌,天地人三清掌,
全真剑法,一气化三清,纯阳剑法,
少林连环腿,十二路谭腿,
相思断剑,尖冲剑法,三劫连环剑,
尖冲剑法,相思断剑,
天地剑法,日月剑法,青冥剑法,
少林连环腿,十二路谭腿,如影随形腿,
逍遥腿法,扶摇腿法,
玄机掌法,百花掌法,
三重劈空掌,百花掌法,醉八仙掌法,
百花剑法,醉八仙掌法,
乞丐拳法,龙爪手,
乞丐拳法,擒龙掌法,降龙问天掌,
龙爪手,擒龙掌法,
黑虎绝户手,虎爪功,
绵云柔剑,神武剑法,
罗汉拳,千手观音掌,
峨嵋掌法,峨嵋通臂拳,
峨嵋掌法,峨嵋通臂拳,佛光注照掌,
佛光注照掌,天地四相掌,
华山拳法,伏虎掌,
伏虎掌,华山拳法,太华混元掌,
扶摇腿法,天地无穷腿法,
天山掌法,二气掌法,
天山掌法,雪花掌法,六阳一脉掌,
雪花掌法,六阳一脉掌,六阴破脉手,
雪花掌法,化功绵掌,
玉环步,鸳鸯腿,玄机腿法,
玉环步,鸳鸯腿,倾城腿法,
昊天掌,五气朝元掌,
天地人三清掌,五气朝元掌,纯阳拳法,
冰火掌,冰火掌,嵩阳炎冰掌,
黑风腿法,黑风腿法,幻月腿法,
玄阳腿法,幻月腿法,玄冥腿法,
三阳灼雨拳,排云流火掌,逐日元气掌,
破风掌,三阳灼雨拳,
破风掌,排云流火掌,